EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1
33	17:36:05	3	0.0031	0.5428262556608194	1.0936297178268433	0.699	0.5643	0.6245	1.1655486822128296	0.6534	0.5932	0.6218
34	17:48:51	0	0.0016	0.5454841540151255	1.0960664749145508	0.7015	0.558	0.6216	1.1681829690933228	0.6591	0.5908	0.6231
35	18:01:29	1	0.0016	0.5383724374550637	1.098361849784851	0.7018	0.554	0.6192	1.1662893295288086	0.6626	0.5908	0.6246
36	18:14:07	2	0.0016	0.5435990104013849	1.0929954051971436	0.6935	0.5623	0.621	1.1643129587173462	0.6605	0.5984	0.6279
37	18:26:43	3	0.0016	0.5390514056417262	1.10160231590271	0.7099	0.552	0.6211	1.16923987865448	0.665	0.5908	0.6257
38	18:39:15	0	0.0008	0.5450503251115356	1.0992701053619385	0.7043	0.5524	0.6192	1.1677967309951782	0.6641	0.5916	0.6258
39	18:51:46	1	0.0008	0.528659676589936	1.0998578071594238	0.7022	0.5524	0.6184	1.1696875095367432	0.6627	0.5916	0.6251
40	19:04:26	2	0.0008	0.5325136141250126	1.0982688665390015	0.7007	0.554	0.6188	1.1686756610870361	0.6637	0.5944	0.6271
41	19:17:07	3	0.0008	0.5612693150589085	1.0979182720184326	0.7029	0.5532	0.6191	1.1677608489990234	0.6615	0.5916	0.6246
42	19:29:47	0	0.0004	0.5272064603701654	1.0974565744400024	0.7014	0.5568	0.6208	1.1678624153137207	0.6628	0.5936	0.6263
43	19:42:22	1	0.0004	0.5440840239528578	1.0974047183990479	0.7034	0.5576	0.6221	1.168610692024231	0.6593	0.5904	0.623
44	19:54:59	2	0.0004	0.546471429562494	1.0970677137374878	0.702	0.5576	0.6215	1.1680586338043213	0.659	0.5904	0.6228
45	20:07:41	3	0.0004	0.5405576271603474	1.0967742204666138	0.7014	0.5568	0.6208	1.1670280694961548	0.6594	0.5916	0.6237
46	20:20:15	0	0.0002	0.5335354520048841	1.0969220399856567	0.7021	0.5568	0.6211	1.1671459674835205	0.6606	0.5908	0.6238
47	20:32:58	1	0.0002	0.536924873867005	1.0970426797866821	0.7021	0.5568	0.6211	1.1670715808868408	0.6606	0.5908	0.6238
48	20:45:39	2	0.0002	0.5462127741788249	1.0979206562042236	0.7028	0.5548	0.6201	1.167771339416504	0.6612	0.5908	0.624
49	20:58:31	3	0.0002	0.5461213372437558	1.0975849628448486	0.7022	0.5572	0.6214	1.167595386505127	0.6615	0.5916	0.6246